name	latitude	longitude
The British Museum	51.518757	-0.126168
Tower of London	51.50853	-0.076132
Big Ben	51.510357	-0.116773
London Eye	51.503399	-0.119519
Buckingham Palace	51.501476	-0.140634
Tower Bridge	51.505554	-0.075278
Hyde Park	51.50861	-0.163611
St. Paul's Cathedral	51.51387	-0.098362
Westminster Abbey	51.493	-0.1232
Palace of Westminster	51.4929	-0.1215
The National Gallery	51.5086	-0.1283
Trafalgar Square	51.5048	-0.1235
The Shard	51.504501	-0.0865
Oxford Street	51.515419	-0.141099
Victoria and Albert Museum	51.496639	-0.17218
Piccadilly Circus	51.510067	-0.133869
The Regent's Park	51.526	-0.154
Borough Market	51.5029	-0.088
Kensington Palace	51.5032	-0.1863
ZSL London Zoo	51.536484	-0.152203
Royal Botanic Gardens	51.4747	-0.2955
London Bridge	51.505554.	-0.075278
Kensington Gardens	51.504	-0.1878
Hampton Court Palace	51.40361	-0.337762
st James's Park	51.501	-0.1258
Tate Modern	51.491	-0.127
Portobello Road	51.5085	-0.2023
Millennium Bridge	54.969799	-1.5992
Leicester Square	51.5062	-0.1248
Shakespeare's Globe	51.5048	-0.0917
Science Museum	51.49183137	-0.171499314
Museum of London	51.5052	-0.188
Royal Observatory Greenwich	51.476852	-0.0005
The Dungeons London	51.505689	-0.085971
Madame Tussauds London	51.5229	-0.1548
Greenwich Park	51.476688	0.00013
SEA LIFE Centre London Aquarium	51.5012	-0.118
Richmond Park	51.4494	-0.2739
Tate Britain	51.491	-0.127
The O2	51.5018	0.0019
The Sherlock Holmes Museum	51.5237	-0.1585
Royal Albert Hall	51.500942	-0.177498
Regent Street	51.5108	-0.1387
Hampstead Heath	51.5578	-0.1677
Monument to the Great Fire of London	51.51013	-0.086001
National Maritime Museum	51.4753	-0.0033
Churchill War Rooms	51.5012	-0.1241
Old Royal Naval College	51.4835	-0.0036
Westminster Bridge	51.3722	-0.1244
Brick Lane	51.5198	-0.0697
Green Park	51.5025	-0.1414
Royal Academy of Arts	51.5055	-0.137
Chinatown Gate	51.5067	-0.1255
Marble Arch	51.5078313	-0.155332
National Portrait Gallery	51.509435	-0.128569
Barbican Centre	51.5202	-0.0977
Baker Street	51.52	-0.1566
Wembley Stadium	51.555973	-0.279672
Cutty Sark	51.4763	-0.0058
Holland Park	51.5056	-0.2087
Nelson's Column	51.5046	-0.1234
Design Museum	51.502766	-0.071862
Chessington World of Adventures Resort	51.3425	-0.3167
Whitehall	51.504981	-0.127262
Kenwood House	51.5657	-0.159
Carnaby Street	51.513332	-0.138889
The Serpentine	51.50316465	-0.16833266
Old Spitalfields Market	51.5183	-0.0718
The Albert Memorial	51.50149799	-0.17333264
Leadenhall Market	51.512803	-0.083482
Serpentine Gallery	51.499081	-0.193825
Battersea Park	51.4793	-0.1573
Emirates Royal Docks	51.507784	0.01813
Princess Diana Memorial Fountain	51.5028	-0.1696
Royal Opera House	51.51292	-0.122198
HMS Belfast	51.506579	-0.081389
Somerset House	51.511515	-0.117505
Columbia Road Flower Market	51.5294	-0.0694
Strand	51.5131	-0.1221
The Wallace Collection	51.5171646	-0.151832726
Queen's House	51.47533143	-0.002333324
